Contracts,Closing Direction,Qty,Entry Price,Exit Price,Closed P&L,Exit Type,Trade Time(UTC+0),Order No.,Create Time
AVAXUSDT,Close Long,110,19.388,19.885,52.45977412,Trade,2022-08-30 19:20:49,bb6827ce,2022-08-30 19:20:49
ETHUSDT,Close Long,1.99,1519.55,1478.85,-84.5730896,Trade,2022-08-30 17:12:33,6c17953d,2022-08-30 17:12:33
ETHUSDT,Close Long,1.96,1533.55,1550.70,29.986922,Trade,2022-08-30 04:17:26,2a4bee96,2022-08-30 04:17:26
BTCUSDT,Close Long,0.289,20363.00,20305.00,-23.8138312,Trade,2022-08-29 16:07:47,93fd8832,2022-08-29 16:07:47
ETHUSDT,Close Long,2.05,1449.25,1475.75,51.30451231,Trade,2022-08-29 12:26:49,79877738,2022-08-29 12:26:49
ETHUSDT,Close Long,2.3,1461.59,1429.95,-76.7663276,Trade,2022-08-28 23:52:21,758f9f39,2022-08-28 23:52:21
AVAXUSDT,Close Long,175,19.096,18.130,-172.9076994,Trade,2022-08-28 23:25:25,b11cb478,2022-08-28 23:25:25
AVAXUSDT,Close Long,116.9,19.661,20.183,58.91285786,Trade,2022-08-28 08:06:32,bc43fed4,2022-08-28 08:06:32
BTCUSDT,Close Long,0.316,19943.50,19988.50,6.17335503,Trade,2022-08-28 05:12:52,c81acfe8,2022-08-28 05:12:52
ETHUSDT,Close Long,0.67,1461.75,1477.30,9.2370019,Trade,2022-08-27 15:56:02,0a806ab9,2022-08-27 15:56:02
BTCUSDT,Close Long,0.344,21486.00,20740.50,-266.86761235,Trade,2022-08-26 15:17:31,1e5fd0ec,2022-08-26 15:17:31
ETHUSDT,Close Long,2.21,1687.35,1609.75,-175.17860821,Trade,2022-08-26 15:04:05,6e71d978,2022-08-26 15:04:05
AVAXUSDT,Close Long,161.6,22.513,23.135,95.73146904,Trade,2022-08-26 13:03:29,d0de4cce,2022-08-26 13:03:29
ETHUSDT,Close Long,1.15,1636.16,1658.85,23.91146487,Trade,2022-08-24 12:52:23,2699a816,2022-08-24 12:52:23
BTCUSDT,Close Long,0.287,21289.50,21621.50,89.37394394,Trade,2022-08-23 14:22:50,ab6777ac,2022-08-23 14:22:50
ETHUSDT,Close Long,1.59,1590.47,1617.10,39.2869814,Trade,2022-08-23 09:48:26,6bd2d1d0,2022-08-23 09:48:26
ETHUSDT,Close Long,2,1581.18,1605.85,45.78892273,Trade,2022-08-23 08:07:12,00c6d1f3,2022-08-23 08:07:12
AVAXUSDT,Close Long,48.4,21.815,22.385,26.304432,Trade,2022-08-23 07:18:13,2a026e24,2022-08-23 07:18:13
AVAXUSDT,Close Long,47.9,21.845,22.540,31.93029057,Trade,2022-08-22 23:40:31,c912ceed,2022-08-22 23:40:31
ETHUSDT,Close Long,0.5,1551.35,1576.35,11.56169,Trade,2022-08-22 20:02:24,14d4ae77,2022-08-22 20:02:24
ETHUSDT,Close Long,1.98,1598.47,1620.65,40.086693,Trade,2022-08-21 22:34:03,9142ee8d,2022-08-21 22:34:03
BTCUSDT,Close Long,0.269,20810.00,21273.50,118.07716627,Trade,2022-08-21 00:21:27,066fcba7,2022-08-21 00:21:27
AVAXUSDT,Close Long,133.3,21.850,22.376,66.86486657,Trade,2022-08-21 00:10:42,3d24bac8,2022-08-21 00:10:42
ETHUSDT,Close Long,1.41,1535.02,1558.35,30.2830118,Trade,2022-08-20 21:33:51,d21eb1b5,2022-08-20 21:33:51
ETHUSDT,Close Long,1.36,1659.62,1590.60,-96.91269164,Trade,2022-08-20 18:49:15,d2754d32,2022-08-20 18:49:15
BTCUSDT,Close Long,0.191,21196.00,21720.00,95.1658264,Trade,2022-08-19 06:40:12,27593e7e,2022-08-19 06:40:12
ETHUSDT,Close Long,0.31,1729.30,1746.85,4.7939361,Trade,2022-08-19 06:39:17,ada5c231,2022-08-19 06:39:17
ETHUSDT,Close Long,0.31,1818.15,1722.75,-30.2326074,Trade,2022-08-19 06:38:42,85a1e612,2022-08-19 06:38:42
AVAXUSDT,Close Long,104.1,24.417,23.255,-123.92951205,Trade,2022-08-19 01:22:15,7695b482,2022-08-19 01:22:15
BTCUSDT,Close Long,0.23,23687.50,23065.00,-151.91260419,Trade,2022-08-19 00:09:30,765dd438,2022-08-19 00:09:30
ETHUSDT,Close Long,0.68,1845.15,1872.15,16.7179462,Trade,2022-08-18 12:23:28,c27435a2,2022-08-18 12:23:28
ETHUSDT,Close Long,0.34,1834.75,1862.15,8.49949952,Trade,2022-08-18 02:07:56,5b320141,2022-08-18 02:07:56
AVAXUSDT,Close Long,100.2,27.541,26.225,-135.57671093,Trade,2022-08-17 13:44:32,103c1529,2022-08-17 13:44:32
BTCUSDT,Close Long,0.213,23964.00,24313.50,66.74480861,Trade,2022-08-17 06:00:46,a7fbd5cb,2022-08-17 06:00:46
ETHUSDT,Close Long,1.38,1876.19,1900.70,30.4354216,Trade,2022-08-17 03:15:19,04847b2c,2022-08-17 03:15:19
ETHUSDT,Close Long,1.38,1883.37,1913.30,37.9056343,Trade,2022-08-16 11:17:17,f6732fd2,2022-08-16 11:17:17
AVAXUSDT,Close Long,26.6,27.645,27.935,6.6094106,Trade,2022-08-16 00:06:13,a9b8eb89,2022-08-16 00:06:13
BTCUSDT,Close Long,0.218,24380.50,24141.50,-59.500266,Trade,2022-08-15 23:38:29,93f53818,2022-08-15 23:38:29
ETHUSDT,Close Long,0.34,1885.15,1915.10,9.407749,Trade,2022-08-15 21:23:39,ba2bc205,2022-08-15 21:23:39
ETHUSDT,Close Long,0.35,1977.65,1885.17,-33.1806913,Trade,2022-08-15 07:39:46,9fb3dc92,2022-08-15 07:39:46
AVAXUSDT,Close Long,12.9,28.175,28.965,9.71241645,Trade,2022-08-15 02:29:55,30e0327b,2022-08-15 02:29:55
BTCUSDT,Close Long,0.21,24307.00,24717.00,79.41287403,Trade,2022-08-15 02:12:55,a0da0be9,2022-08-15 02:12:55
BTCUSDT,Close Long,0.191,24457.00,25005.00,98.06514814,Trade,2022-08-14 07:50:09,4a259269,2022-08-14 07:50:09
ETHUSDT,Close Long,1.18,1974.54,2005.50,33.48323694,Trade,2022-08-14 07:32:40,716f6462,2022-08-14 07:32:40
BTCUSDT,Close Long,0.177,23866.50,24405.00,88.91660737,Trade,2022-08-12 23:37:13,ed60525e,2022-08-12 23:37:13
ETHUSDT,Close Long,0.3,1922.70,1953.95,8.677203,Trade,2022-08-12 23:21:03,401e5e38,2022-08-12 23:21:03
ETHUSDT,Close Long,0.58,1857.53,1885.45,14.8939447,Trade,2022-08-12 13:06:51,b3e7ed06,2022-08-12 13:06:51
ETHUSDT,Close Long,0.87,1876.47,1907.40,24.77335556,Trade,2022-08-12 02:52:15,ea9e42ba,2022-08-12 02:52:15
ETHUSDT,Close Long,0.29,1865.90,1896.95,8.3497641,Trade,2022-08-11 05:11:12,d0bc8137,2022-08-11 05:11:12
BTCUSDT,Close Long,0.162,23779.00,24348.50,87.19313526,Trade,2022-08-11 01:25:20,d8498027,2022-08-11 01:25:20
ETHUSDT,Close Long,0.81,1827.15,1860.20,24.9784479,Trade,2022-08-10 21:28:49,fd31dbb8,2022-08-10 21:28:49
BTCUSDT,Close Long,0.08,22706.00,23388.50,52.203864,Trade,2022-08-10 12:30:36,55f54e24,2022-08-10 12:30:36
ETHUSDT,Close Long,1.1,1671.44,1697.80,26.5869571,Trade,2022-08-10 08:50:38,07805eae,2022-08-10 08:50:38
BTCUSDT,Close Long,0.081,22984.50,22691.00,-25.9933293,Trade,2022-08-10 00:40:46,839be2d9,2022-08-10 00:40:46
ETHUSDT,Close Long,1.14,1771.53,1688.20,-97.76896406,Trade,2022-08-09 13:56:14,90f5d14a,2022-08-09 13:56:14
ETHUSDT,Close Long,0.89,1730.60,1757.45,21.87972885,Trade,2022-08-08 08:46:37,03fe98a3,2022-08-08 08:46:37
ETHUSDT,Close Long,1.76,1694.25,1721.05,43.38049354,Trade,2022-08-08 05:23:37,fa617463,2022-08-08 05:23:37
ETHUSDT,Close Long,3.24,1698.44,1722.20,69.7338642,Trade,2022-08-07 20:25:09,52351336,2022-08-07 20:25:09
ETHUSDT,Close Long,0.83,1661.55,1689.00,21.16268011,Trade,2022-08-05 11:18:06,25a4d523,2022-08-05 11:18:06
ETHUSDT,Close Long,2.46,1588.55,1612.35,53.9591068,Trade,2022-08-05 00:06:58,d12e48b6,2022-08-05 00:06:58
ETHUSDT,Close Long,3.07,1587.40,1608.45,58.7377449,Trade,2022-08-04 18:31:04,0d8687ce,2022-08-04 18:31:04
ETHUSDT,Close Long,0.74,1632.70,1656.55,16.10571609,Trade,2022-08-04 01:38:47,07dacfc7,2022-08-04 01:38:47
